Track,Artist,SpotifyID,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness
Pete Davidson,Ariana Grande,0XOnMqLQDO89iAg7dWWwnG,0.652,0.31,4,1,0.0509,0.43,0.0000116,0.182,0.304,119.913,73813,-10.212
Chun-Li,Nicki Minaj,1e4rwBPVI32vZtTJu7mJ4J,0.69,0.729,6,0,0.372,0.276,0.0000508,0.106,0.478,128.96,191600,-5.08
Be Careful,Cardi B,2Yl4OmDby9iitgNWZPwxkd,0.82,0.568,6,0,0.411,0.0256,0,0.0952,0.535,152.279,210787,-8.23
Stop Trying To Be God,Travis Scott,1xYpVRspgaLxdJLOTQkTjg,0.588,0.567,4,0,0.0628,0.221,0,0.135,0.113,150.009,338438,-3.738
Wake Up,Travis Scott,20MuVazoNMv6xjKPnRFOxG,0.741,0.645,11,0,0.0963,0.192,0,0.163,0.488,149.07,231964,-5.116
R.I.P Screw,Travis Scott,4SZepBIPDRwPaHIjAKwRDb,0.607,0.609,0,0,0.291,0.389,0.000016,0.111,0.556,74.946,185610,-5.978
No Bystanders,Travis Scott,6OaVWaGfhXn70ZJfdVcabn,0.731,0.811,1,1,0.0712,0.0204,0,0.411,0.426,147.045,218284,-3.225
Carousel,Travis Scott,7KZ5MMVgBVox9ycroB2UrI,0.428,0.403,5,0,0.209,0.229,0,0.22,0.133,95.387,180183,-5.914
Album Of The Year (Freestyle),J. Cole,6rDaCGqcQB1urhpCrrD599,0.705,0.816,10,0,0.32,0.0805,0,0.476,0.929,94.211,138872,-7.046
5% Tint,Travis Scott,11kDth1aKUEUMq9r1pqyds,0.712,0.481,4,0,0.0487,0.173,0,0.241,0.062,140,196138,-5.415
Have It All,Jason Mraz,7BXW1QCg56yzEBV8pW8pah,0.643,0.638,1,0,0.0407,0.204,0,0.0707,0.6,82.001,226107,-4.947
Nevermind,Dennis Lloyd,63SevszngYpZOwf63o61K4,0.6,0.688,5,0,0.201,0.159,0.0000129,0.409,0.0793,99.977,156600,-8.339
NC-17,Travis Scott,6BJbOXDlgVAXSaq6wYFYT2,0.804,0.763,2,1,0.0519,0.0678,0,0.368,0.0585,136.052,156886,-5.48
Who? What!,Travis Scott,4KYS9GK68yeuUJ8vJfPxrq,0.834,0.731,10,0,0.0566,0.0462,0,0.0731,0.681,140.001,176720,-5.603
Skeletons,Travis Scott,6NMtzpDQBTOfJwMzgMX0zl,0.46,0.686,0,0,0.0367,0.00146,0,0.375,0.252,148.054,145588,-5.948
Astrothunder,Travis Scott,4MXhiYIRDMGAuvZc5IFTwC,0.7,0.46,4,0,0.0661,0.142,0.0000481,0.111,0.286,151.901,142969,-8.111
Butterfly Effect,Travis Scott,2cYqizR4lgvp4Qu6IQ3qGN,0.763,0.628,11,1,0.05,0.0531,0,0.114,0.193,140.958,190557,-5.85
Houstonfornication,Travis Scott,58TaFP5j5i9swOf584yon2,0.689,0.723,0,0,0.0836,0.0985,0,0.158,0.288,160.042,217828,-4.052
Coffee Bean,Travis Scott,6vnfObZ4Ys70SBAtti1xZ9,0.81,0.582,5,0,0.125,0.0862,0.00681,0.207,0.503,95.004,209116,-5.098
I Was Jack (You Were Diane),Jake Owen,3dlCF1mzW1UKMOb4b1XN17,0.603,0.866,6,1,0.0443,0.0819,0,0.0521,0.543,94.057,187027,-3.541
Whatever It Takes,Imagine Dragons,6Qn5zhYkTa37e91HC1D7lb,0.672,0.655,10,0,0.0311,0.0362,0,0.117,0.556,134.945,201240,-5.021
Sober,Demi Lovato,0STK94RxUulYqWzwFlyAb5,0.397,0.303,1,1,0.11,0.798,0.00000416,0.0824,0.17,170.22,197893,-10.413
Sit Next To Me,Foster The People,4BdGO1CaObRD4La9l5Zanz,0.638,0.738,6,0,0.0292,0.117,0.000384,0.689,0.657,97.021,243147,-4.976
One Number Away,Luke Combs,4gB7HrYHbJVJ5RFOjxmoq4,0.544,0.781,6,0,0.0311,0.00585,0,0.191,0.527,144.075,221800,-6.16
Call Out My Name,The Weeknd,09mEdoA6zrmBPgTEN5qXmN,0.461,0.593,1,1,0.0356,0.17,0,0.307,0.175,134.17,228373,-4.954
All Mine,Kanye West,3U21A07gAloCc4P7J8rxcn,0.925,0.31,11,0,0.291,0.123,0,0.0931,0.291,121.927,145507,-6.531
Karma,Queen Naija,3qmm9AdG0TnShv0drgXNIQ,0.592,0.571,1,1,0.174,0.172,0,0.106,0.424,104.95,176076,-7.132
X,Nicky Jam x J Balvin,5YUyW9opqNsMSEzzecZih1,0.594,0.749,9,0,0.056,0.0338,0.00106,0.3,0.694,179.968,172854,-5.298
I Might Need Security,Chance The Rapper,3EApebexZ7YqDIqw2EMTDh,0.514,0.693,9,1,0.408,0.177,0,0.351,0.287,110.568,240640,-5.868
You Should See Me In A Crown,Billie Eilish,3XF5xLJHOQQRbWya6hBp7d,0.678,0.533,4,1,0.186,0.462,0.219,0.139,0.323,150.455,180953,-10.485
Emotionless,Drake,5Psnhdkyanjpgc2P8A5TSM,0.413,0.677,1,1,0.255,0.0249,0,0.0793,0.0845,172.501,302173,-5.12
Can't Take A Joke,Drake,1dUHF4RyMmMTveJ0Rby6Xm,0.761,0.598,10,0,0.182,0.128,0,0.0839,0.447,173.897,163974,-7.249
Elevate,Drake,3szf2z1Cy1QMrtHrbn8rz9,0.758,0.474,1,1,0.146,0.015,0,0.116,0.0541,76.062,184960,-8.72
Blue Tint,Drake,4n1bdaKwynQndm47x5HqWX,0.888,0.372,7,0,0.358,0.013,0,0.184,0.123,133.998,162800,-10.254
Zombie,Bad Wolves,1vNoA9F5ASnlBISFekDmg3,0.448,0.826,2,0,0.0319,0.00756,0,0.117,0.19,77.093,254805,-3.244
8 Out Of 10,Drake,0zqy3ss4CwD6u4QPksS0nI,0.529,0.69,2,1,0.74,0.161,0,0.498,0.311,170.54,195720,-7.87
31 Days,Future,7MywASx2OFZngfoORjo1yy,0.875,0.644,1,1,0.222,0.267,0,0.125,0.788,139.086,240682,-6.554
Wifi Lit,Future,6WlxcZKpEV6Bwe9InoVhMp,0.884,0.579,2,1,0.299,0.064,0.00000238,0.182,0.313,144.973,176630,-6.847
Jocelyn Flores,XXXTENTACION,7m9OqQk4RVRkw9JJdeAw96,0.872,0.391,0,0,0.242,0.469,0.00000413,0.297,0.437,134.021,119133,-9.144
Sandra's Rose,Drake,6cblRiEGDRNZgowcm951R3,0.487,0.849,1,1,0.246,0.0481,0,0.143,0.52,152.093,216333,-5.432
Summer Games,Drake,4HG1YiGBseVKzjyKcmAJen,0.775,0.482,1,1,0.0357,0.477,0.0456,0.11,0.134,136.016,247893,-11.269
Jaded,Drake,4c2xt1trwYZpMqPWY35Xi9,0.766,0.271,0,1,0.0412,0.037,0,0.175,0.0371,116.02,262453,-5.697
That's How You Feel,Drake,41a7dZcq30Ss5kPMayWRV0,0.85,0.473,10,0,0.209,0.117,0.0105,0.108,0.38,85.454,157605,-5.747
Survival,Drake,2yg9UN4eo5eMVJ7OB4RWj3,0.607,0.596,9,0,0.358,0.133,0,0.123,0.149,77.324,136187,-9.09
Cuddle My Wrist,Future,5UVNjOSh27encRBqTpBWup,0.903,0.503,11,0,0.335,0.0744,0.0000209,0.125,0.203,125,181894,-9.188
Racks Blue,Future,4lc61NBCDzy2srBHDQeTfN,0.868,0.548,1,1,0.171,0.233,0.00000267,0.181,0.557,139.999,204311,-7.864
Finesse,Drake,2WP8G2pdddDmnh1xbfKBOI,0.807,0.32,0,0,0.0582,0.133,0.000328,0.101,0.298,94.99,182080,-8.152
Drug Addicts,Lil Pump,6tpHfEM8eaETzlPOARYWfZ,0.933,0.488,1,0,0.149,0.0106,0.00107,0.0958,0.21,142.064,175775,-9.327
KOD,J. Cole,7yotKA30dwTKNEGomV9ZsI,0.831,0.782,0,1,0.15,0.21,0,0.113,0.199,141.869,191437,-6.274
Peak,Drake,11L064movtyopGdLiX4sVg,0.686,0.215,9,0,0.0387,0.85,0.000123,0.106,0.273,91.998,206027,-13.54
Legends,Juice WRLD,1Knctxx9vGZxpZfF66BIEa,0.594,0.798,4,1,0.0844,0.115,0,0.143,0.381,142.049,191840,-5.244
Is There More,Drake,1Tnw0ItH1Macok8gblnPPd,0.698,0.547,1,1,0.315,0.727,0,0.159,0.548,83.801,226907,-7.607
